,Title,Published_date,Views,Likes,Favorite,Comments,Month
132,"Alright! | First Date After Lockdown | Ft. Kritika Avasthi, Parikshit Joshi & Abhishek Kapoor",2020-09-23,2162255,40533,0,818,Sep
133,"Alright! | Gaming With Ex | Ft. Anushka Kaushik, Alpha Clasher & Ritik Ghanshani",2020-09-19,1352668,56673,0,1497,Sep
134,Alright! | Rishta Pakka Samjhe? | Ft. Kritika Avasthi & Nikhil Vijay,2020-09-10,1650377,85375,0,1845,Sep
135,Alright! | Maths Ka Phobia | Ft. Parikshit Joshi & Revathi Pillai | Teacher's Day Special,2020-09-05,2345056,50947,0,2916,Sep
136,"Alright! | Honest Office Party | Ft. Chote Miyan, Kritika Avasthi, Rohan Shah",2020-08-27,391622,19027,0,438,Aug
137,"Alright! | Dating During The New Normal | Ft.  Viraj, Radhika , Ritwik , Shreya",2020-08-14,595641,19562,0,475,Aug
138,"Alright! | Gymming With Ex | ft. Kritika Avasthi, Rohan Shah",2020-08-13,2312789,94305,0,1502,Aug
139,Alright! | If 2020 Was A Person | Ft. Ahsaas Channa & Parikshit Joshi,2020-08-08,1156072,47225,0,1603,Aug
140,Raksha Bandhan: When You Miss Your Sister | Ft. Kritika Avasthi & Gagan Arora | Alright!,2020-08-01,1683943,62561,0,933,Aug
141,"Alright! | When Best Friends Get Committed | Ft. Rohan Shah, Kritika Avasthi, Mehek and Qabeer",2020-07-31,1393487,50478,0,732,Jul
142,Thoughts While Breakup : Part 2 | Ft. Ahsaas Channa & Abhishek Chauhan | Alright!,2020-07-28,544600,26208,0,984,Jul
143,Thoughts While Breakup : Part 1 | Ft. Ahsaas Channa & Abhishek Chauhan | Alright!,2020-07-25,1051545,38731,0,960,Jul
144,Alright! | Signs That She Likes You | Ft. Anushka Kaushik & Rohan Shah,2020-07-21,3627381,163654,0,5274,Jul
145,"Alright! | When Someone Has A Crush On You | Ft. Ahsaas Channa, Parikshit Joshi & Ritik",2020-07-15,4159555,185812,0,4562,Jul
146,"Alright! | When Girlfriend Flirts With Bestfriend | Ft. Kritika Avasthi, Nikhil Vijay & Ritik",2020-07-10,1557030,83426,0,1682,Jul
147,"Alright! | Online Classes Gone Wrong | Ft. Anushka Kaushik, Alam Khan & Ritik Ghansani",2020-06-29,2546344,113650,0,2334,Jun
148,Alright! | Texting With Your Crush |  Ft. Ambrish Verma & Shreya Gupto,2020-06-25,2475640,118818,0,3714,Jun
149,Bestfriends | Ep 3/3- Bestfriend Ka Birthday | Mini Web Series| ft. Anushka Kaushik & Ritvik Sahore​,2020-06-22,1160342,60209,0,1622,Jun
150,"Bestfriends | Ep 2/3 -  Proposal | Mini Web Series| ft. Anushka Kaushik, Ritvik Sahore​, Mehek Mehra",2020-06-18,1602662,61014,0,1118,Jun
151,"Bestfriends | Ep 1/3 - F.R.I.E.N.D.S. | Web Series | ft. Anushka Kaushik, Ritvik Sahore | Alright",2020-06-15,1492293,57865,0,1176,Jun
152,"Alright! Web Series Announcement | Ft. Ritvik Sahore, Anushka Kaushik, Mehek Mehra, Ritik Ghanshani",2020-06-14,140504,6520,0,83,Jun
153,Alright! | When Your Best Friend Is Your Boss | Ft. Nikhil Vijay & Kritika Avasthi,2020-06-09,1918427,70577,0,784,Jun
154,"Types Of Ludo Players | Ft. Anushka Kaushik, Akhilesh Vats, Harshpal Singh, Qabeer Singh & Manan",2020-05-28,304287,18840,0,318,May
155,"Bollywood Gangsters In Lockdown | Ft. Abhinav Anand (Bade), Ankit Motghare, Karpoor & Akhil",2020-05-25,925727,12653,0,475,May
156,When YouTuber Met TikToker | Ft. Shreya Gupto & @Rishhsome | YouTube vs TikTok,2020-05-23,424482,28279,0,962,May
157,Best Friends and Lockdown | Hello Ep. 3 | Ft. Anushka Kaushik & Ambrish Verma,2020-05-21,879968,45885,0,776,May
158,"Types Of Addicts During Lockdown | Ft. Nikhil Vijay, Mehek Mehra | Arré",2020-05-13,668141,46577,0,1894,May
159,Birthday In Lockdown | Ft. Anushka Kaushik & Abhinav Anand (Bade),2020-05-09,414152,21817,0,614,May
160,Alright! | Lockdown Podcast | #IndiaAlrightHai | Charity Event for Corona Warriors,2020-05-07,75487,2315,0,32,May
161,Thoughts While Watching Ramayana  | Ft. Keshav Sadhana & Mehak Mehra,2020-05-05,505584,27854,0,728,May
162,Love In The Time Of Corona : Part 2 | लॉकडाउन वाला लव | Ft. Ritvik Sahore & Rashmi Agdekar,2020-04-28,1210439,42194,0,2801,Apr
163,Love In The Time Of Corona : Part 1| लॉकडाउन वाला लव | Ft. Ritvik Sahore & Rashmi Agdekar,2020-04-25,1276812,42833,0,697,Apr
164,Thoughts While Watching P*rn | Ft. Harshpal Singh,2020-04-21,345645,13572,0,1608,Apr
165,Calling Mom During Lockdown | Hello Ep. 2 | Ft. Ambrish Verma & Sheeba Chaddha,2020-04-18,512680,26310,0,1007,Apr
166,Alright! | Calling Ex During Lockdown | Hello Ep. 1 | Ft. Anushka Kaushik & Gagan Arora,2020-04-15,3118831,141648,0,7885,Apr
167,Bachelors In Lockdown | बैचलर् और लॉकडाउन | Ft. Gagan Arora & Jitendra Singh Rajput,2020-04-11,681244,32675,0,3693,Apr
168,Indians In Lockdown | इंडियंस और जनता कर्फ़्यू | Ft. Nikhil Vijay & Kritika Avasthi | Arré,2020-04-04,1072231,40425,0,1141,Apr
169,"Work From Home | घर पे मौज | Ft. Nikhil Vijay, Jahnvi Rawat & Akhilesh Vats | Arré",2020-04-01,904379,51124,0,784,Apr
170,College Wala Pyaar | कॉलेज वाला प्यार | Ft. Karpoor Gaurav & Alisha Chopra,2020-03-29,711401,30501,0,1357,Mar
171,When Teacher Met Gangster | गुरु और गेंग्स्टर | Ft. Sahil Verma,2020-03-26,222657,10149,0,343,Mar
172,Cooking For Your Partner | पति पत्नी और खाना | ft. Kritika Avasthi & Abhinav Anand (Bade),2020-03-07,1176513,35373,0,846,Mar
173,Thoughts During Movie Date  - Part 2 | मूवी का मज़ा | Ft. Rohan Shah & Anushka Kaushik,2020-03-05,1944828,71148,0,861,Mar
174,Thoughts During Movie Date  - Part 1 | मूवी का मज़ा | Ft. Rohan Shah & Anushka Kaushik,2020-03-03,3359065,103010,0,1330,Mar
175,Finding Love in a Cab | कैब वाला प्यार | Ft. Kritika Avasthi & Karpoor Gaurav,2020-02-24,1255457,58325,0,1893,Feb
176,When Girlfriend Plans Trip With You | बंदी के साथ पहली ट्रिप | Ft. Anushka Kaushik & Keshav Sadhna,2020-02-18,2691243,101941,0,1782,Feb
177,"New Girl In Office | Ft. Nikhil Vijay, Kritika Avasthi & Jahnvi Rawat",2020-02-14,2696742,84102,0,1746,Feb
178,"Date With Best Friend | Ft. Anushka Kaushik, Ambrish Verma, Jahnvi Rawat & Karpoor Gaurav",2020-02-11,2879174,116791,0,2166,Feb
179,When You Get Friendzoned : Part 2 | ft. Anushka Kaushik & Keshav Sadhna,2020-02-08,999625,45946,0,795,Feb
180,When You Get Friendzoned : Part 1 | ft. Anushka Kaushik & Keshav Sadhna,2020-02-05,1117867,54053,0,837,Feb
181,"Alright! | Kal Se Daaru Band | ft. Hasley India, Abhishek Kapoor & Akhil Sachdeva",2020-01-30,176509,6765,0,93,Jan
182,Alright! | Razai Se Nahi Niklunga | ft. Abhishek Kapoor & Akhil Sachdeva,2020-01-25,216026,9073,0,189,Jan
183,"Alright! | Office Ki Dosti | ft. Ambrish Verma, Akashdeep Arora & Akhil Sachdeva",2020-01-21,752190,32403,0,441,Jan
184,Alright! | Sweet Jaat - #UnType ft. Abhishek Kapoor & Mehak Mehra,2020-01-16,401972,16890,0,436,Jan
185,Backpackers | Ep 3/3 - Rehnuma | Mini Web Series | ft. Ambrish Verma,2019-12-31,2464708,140056,0,5011,Dec
186,Backpackers | Ep 2/3 - Khoobsurat | Mini Web Series | ft. Ambrish Verma,2019-12-29,2853856,131575,0,1641,Dec
187,Alright! | Backpackers | Ep 1/3 - O Yaara | Mini Web Series | ft. Ambrish Verma,2019-12-27,4819372,119051,0,2352,Dec
188,Alright! Backpackers Official Trailer | Ambrish Verma Shirin Sewani Alisha Chopra Prashast Singh,2019-12-24,491388,16263,0,325,Dec
